fruit_name,sugar_g,calories,acidity_pH,season,top_vitamin,top_mineral,avg_weight_g,water_percent,fiber_g_per_100g,taste_profile,shelf_life_days
Banana,12,89,5,All,B6,Potassium,118,74,2.6,Sweet,7
Strawberry,4.9,32,3,Spring,C,Manganese,12,91,2,Sweet,5
Apple,10,52,3.3,Fall,C,Potassium,182,86,2.4,Sweet,30
Pear,9.8,57,3.5,Fall,C,Potassium,178,84,3.1,Sweet,30
Cherry,12,63,4,Summer,C,Potassium,8,82,2.1,Sweet,7
Orange,9,47,3.1,Winter,C,Potassium,131,87,2.4,Sweet,14
Pineapple,10,50,3.2,Summer,C,Manganese,905,86,1.4,Sweet,10
Mango,14,60,3.4,Summer,A,Potassium,200,83,1.6,Sweet,7
Grapes,16,69,3.5,Fall,C,Potassium,5,81,0.9,Sweet,14
Watermelon,6,30,5.2,Summer,A,Potassium,920,92,0.4,Sweet,5
Blueberry,10,57,3.1,Summer,C,Manganese,1,84,2.4,Sweet,7
Raspberry,4.9,52,3.2,Summer,C,Manganese,4,86,6.5,Tart,3
Kiwi,10.6,61,3.1,Fall,C,Potassium,75,83,3,Tart,7
Papaya,5.9,43,5.5,Summer,A,Potassium,500,88,1.7,Sweet,5
Peach,9.5,39,3.3,Summer,A,Potassium,150,89,1.5,Sweet,7
Plum,10,46,2.9,Summer,A,Potassium,66,87,2,Sweet,7
Apricot,9,48,3.4,Spring,A,Potassium,35,86,2,Sweet,7
Lemon,2.5,29,2.2,Winter,C,Potassium,65,89,2.5,Sour,21
Lime,1.7,30,2,Winter,C,Potassium,67,88,0.9,Sour,21
Cantaloupe,8,34,6.5,Summer,A,Potassium,265,90,2,Sweet,7
Fig,16,74,3.5,Fall,K,Calcium,50,79,2,Sweet,5
Pomegranate,13,83,3,Fall,C,Potassium,282,78,4,Sweet,10
Coconut,6,354,6,All,E,Potassium,1500,47,9,Sweet,90
Avocado,0.7,160,6.3,All,K,Potassium,200,73,6.7,Creamy,30
Guava,8.9,68,3.3,Fall,C,Potassium,55,81,5.4,Sweet,5
Passionfruit,11,97,3.3,Summer,C,Potassium,18,73,1.9,Tart,5
Lychee,15,66,4,Summer,C,Potassium,20,82,5.3,Sweet,7
Blackberry,4.9,43,3.1,Summer,C,Manganese,5,86,1.8,Sweet,5
Tangerine,11,53,3.2,Winter,C,Potassium,150,85,1.7,Sweet,7
Nectarine,11,44,3.5,Summer,A,Potassium,150,88,3,Sweet,7
Dragonfruit,8,50,3.1,Summer,C,Potassium,600,77,1.5,Sweet,10
Mulberry,8,43,3.6,Summer,C,Potassium,2,84,1.7,Sweet,7
Jackfruit,19,95,3.8,Summer,A,Potassium,10000,74,1.5,Sweet,10
Cranberry,4,46,2.3,Fall,C,Potassium,1,87,4,Tart,7
Persimmon,13,81,5,Fall,A,Potassium,168,81,3.6,Sweet,10
Date,66,282,282,All,K,Potassium,7,21,8,Sweet,365
Olive,0.8,115,6.3,All,E,Iron,3,86,3,Bitter,14
Starfruit,3.9,31,3.4,Summer,C,Potassium,91,91,2.8,Sweet,14
Kumquat,9,71,3.3,Winter,C,Potassium,19,90,1.7,Sour,14
